move_name,move_id,Unnamed: 0,accuracy,damage_class,effect_chance,effect,power,pp,priority,short_effect,target,move_type,type_name,type_id
ice-fang,423,422,95.0,physical,10.0,Has a 10% chance to freeze the target and a 10% chance to make the target flinch.,65.0,15.0,0,Has a 10% chance to freeze the target and a 10% chance to make the target flinch.,selected-pokemon,ice,ice,10
pay-day,6,5,100.0,physical,,Scatters money on the ground worth five times the user's level.,40.0,20.0,0,Scatters money on the ground worth five times the user's level.,selected-pokemon,normal,normal,19
double-kick,24,23,100.0,physical,,Hits twice in one turn.,30.0,30.0,0,Hits twice in one turn.,selected-pokemon,fighting,fighting,7
thunder-shock,84,83,100.0,special,10.0,Has a 10% chance to paralyze the target.,40.0,30.0,0,Has a 10% chance to paralyze the target.,selected-pokemon,electric,electric,13
sweet-kiss,186,185,75.0,status,,Confuses the target.,,10.0,0,Confuses the target.,selected-pokemon,fairy,fairy,5
zap-cannon,192,191,50.0,special,100.0,Has a 100% chance to paralyze the target.,120.0,5.0,0,Has a 100% chance to paralyze the target.,selected-pokemon,electric,electric,13
spark,209,208,100.0,physical,30.0,Has a 30% chance to paralyze the target.,65.0,20.0,0,Has a 30% chance to paralyze the target.,selected-pokemon,electric,electric,13
encore,227,226,100.0,status,,Forces the target to repeat its last used move every turn for 2 to 6 turns.,,5.0,0,Forces the target to repeat its last used move every turn for 2 to 6 turns.,selected-pokemon,normal,normal,19
charge,268,267,,status,,Does not raise the user's Special Defense. Additionally; Raises the user's Special Defense by one stage.  User's Electric moves have doubled power next turn.,,20.0,0,Raises the user's Special Defense by one stage.  User's Electric moves have doubled power next turn.,user,electric,electric,13
fake-tears,313,312,100.0,status,,Lowers the target's Special Defense by two stages.,,20.0,0,Lowers the target's Special Defense by two stages.,selected-pokemon,dark,dark,16
volt-tackle,344,343,100.0,physical,10.0,User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to paralyze the target.,120.0,15.0,0,User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to paralyze the target.,selected-pokemon,electric,electric,13
calm-mind,347,346,,status,,Raises the user's Special Attack and Special Defense by one stage.,,20.0,0,Raises the user's Special Attack and Special Defense by one stage.,user,psychic,psychic,8
feint,364,363,100.0,physical,,"If the target is not under the effect of detect or protect, this move will fail. Additionally; Hits through Protect and Detect.",30.0,10.0,2,Hits through Protect and Detect.,selected-pokemon,normal,normal,19
magnet-rise,393,392,,status,,User is immune to Ground moves and effects for five turns.,,10.0,0,User is immune to Ground moves and effects for five turns.,user,electric,electric,13
nasty-plot,417,416,,status,,Raises the user's Special Attack by two stages.,,20.0,0,Raises the user's Special Attack by two stages.,user,dark,dark,16
discharge,435,434,100.0,special,30.0,Has a 30% chance to paralyze the target.,80.0,15.0,0,Has a 30% chance to paralyze the target.,all-other-pokemon,electric,electric,13
electro-ball,486,485,100.0,special,,"Power is higher when the user has greater Speed than the target, up to a maximum of 150.",,10.0,0,"Power is higher when the user has greater Speed than the target, up to a maximum of 150.",selected-pokemon,electric,electric,13
volt-switch,521,520,100.0,special,,User must switch out after attacking.,70.0,20.0,0,User must switch out after attacking.,selected-pokemon,electric,electric,13
disarming-voice,574,573,,special,,Never misses.,40.0,15.0,0,Never misses.,all-opponents,fairy,fairy,5
play-rough,583,582,90.0,physical,10.0,Has a 10% chance to lower the target's Attack by one stage.,90.0,10.0,0,Has a 10% chance to lower the target's Attack by one stage.,selected-pokemon,fairy,fairy,5
play-nice,589,588,,status,100.0,Lowers the target's Attack by one stage.,,20.0,0,Lowers the target's Attack by one stage.,selected-pokemon,normal,normal,19
eerie-impulse,598,597,100.0,status,,Lowers the target's Special Attack by two stages.,,15.0,0,Lowers the target's Special Attack by two stages.,selected-pokemon,electric,electric,13
electric-terrain,604,603,,status,,"For five turns, prevents all Pokémon on the ground from sleeping and strengthens their electric moves to 1.5× their power.",,10.0,0,"For five turns, prevents all Pokémon on the ground from sleeping and strengthens their electric moves to 1.5× their power.",entire-field,electric,electric,13
nuzzle,609,608,100.0,physical,100.0,Has a 100% chance to paralyze the target.,20.0,20.0,0,Has a 100% chance to paralyze the target.,selected-pokemon,electric,electric,13
rising-voltage,804,785,100.0,special,,Inflicts regular damage with no additional effect.,70.0,20.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,electric,electric,13
speed-swap,683,682,,status,,Exchanges the user's Speed with the target's.,,10.0,0,Exchanges the user's Speed with the target's.,selected-pokemon,psychic,psychic,8
low-kick,67,66,100.0,physical,,"Inflicts more damage to heavier targets, with a maximum of 120 power.",,20.0,0,"Inflicts more damage to heavier targets, with a maximum of 120 power.",selected-pokemon,fighting,fighting,7
spikes,191,190,,status,,"Scatters Spikes, hurting opposing Pokémon that switch in.",,20.0,0,"Scatters Spikes, hurting opposing Pokémon that switch in.",opponents-field,ground,ground,4
magnitude,222,221,100.0,physical,,Power varies randomly from 10 to 150.,,30.0,0,Power varies randomly from 10 to 150.,all-other-pokemon,ground,ground,4
crush-claw,306,305,95.0,physical,50.0,Has a 50% chance to lower the target's Defense by one stage.,75.0,10.0,0,Has a 50% chance to lower the target's Defense by one stage.,selected-pokemon,normal,normal,19
sand-tomb,328,327,85.0,physical,100.0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,35.0,15.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,selected-pokemon,ground,ground,4
night-slash,400,399,100.0,physical,,Has an increased chance for a critical hit.,70.0,15.0,0,Has an increased chance for a critical hit.,selected-pokemon,dark,dark,16
stone-edge,444,443,80.0,physical,,Has an increased chance for a critical hit.,100.0,5.0,0,Has an increased chance for a critical hit.,selected-pokemon,rock,rock,11
stealth-rock,446,445,,status,,Causes damage when opposing Pokémon switch in.,,20.0,0,Causes damage when opposing Pokémon switch in.,opponents-field,rock,rock,11
chip-away,498,497,100.0,physical,,Ignores the target's stat modifiers.,70.0,20.0,0,Ignores the target's stat modifiers.,selected-pokemon,normal,normal,19
rototiller,563,562,,status,100.0,Raises the Attack and Special Attack of all grass Pokémon in battle.,,10.0,0,Raises the Attack and Special Attack of all grass Pokémon in battle.,all-pokemon,ground,ground,4
high-horsepower,667,666,95.0,physical,,Inflicts regular damage with no additional effect.,95.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,ground,ground,4
steel-roller,798,779,100.0,physical,,Inflicts regular damage with no additional effect.,130.0,5.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,steel,steel,9
flatter,260,259,100.0,status,,Raises the target's Special Attack by one stage and confuses the target.,,15.0,0,Raises the target's Special Attack by one stage and confuses the target.,selected-pokemon,dark,dark,16
venom-drench,599,598,100.0,status,100.0,"Lowers the target's Attack, Special Attack, and Speed by one stage if it is poisoned.",,20.0,0,"Lowers the target's Attack, Special Attack, and Speed by one stage if it is poisoned.",all-opponents,poison,poison,1
horn-drill,32,31,30.0,physical,,Causes a one-hit KO.,,5.0,0,Causes a one-hit KO.,selected-pokemon,normal,normal,19
superpower,276,275,100.0,physical,100.0,Lowers the user's Attack and Defense by one stage after inflicting damage.,120.0,5.0,0,Lowers the user's Attack and Defense by one stage after inflicting damage.,selected-pokemon,fighting,fighting,7
rock-blast,350,349,90.0,physical,,Hits 2-5 times in one turn.,25.0,10.0,0,Hits 2-5 times in one turn.,selected-pokemon,rock,rock,11
hex,506,505,100.0,special,,Has double power if the target has a major status ailment.,65.0,10.0,0,Has double power if the target has a major status ailment.,selected-pokemon,ghost,ghost,17
quash,511,510,100.0,status,,Makes the target act last this turn.,,15.0,0,Makes the target act last this turn.,selected-pokemon,dark,dark,16
horn-attack,30,29,100.0,physical,,Inflicts regular damage with no additional effect.,65.0,25.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
thrash,37,36,100.0,physical,,"Hits every turn for 2-3 turns, then confuses the user.",120.0,10.0,0,"Hits every turn for 2-3 turns, then confuses the user.",random-opponent,normal,normal,19
head-smash,457,456,80.0,physical,,User receives 1/2 the damage inflicted in recoil.,150.0,5.0,0,User receives 1/2 the damage inflicted in recoil.,selected-pokemon,rock,rock,11
smart-strike,684,683,,physical,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,70.0,10.0,0,Never misses.,selected-pokemon,steel,steel,9
megahorn,224,223,85.0,physical,,Inflicts regular damage with no additional effect.,120.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,bug,bug,18
pound,1,0,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,35.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
double-slap,3,2,85.0,physical,,Hits 2-5 times in one turn.,15.0,10.0,0,Hits 2-5 times in one turn.,selected-pokemon,normal,normal,19
sing,47,46,55.0,status,,Puts the target to sleep.,,15.0,0,Puts the target to sleep.,selected-pokemon,normal,normal,19
night-shade,101,100,100.0,special,,Inflicts damage equal to the user's level.,,15.0,0,Inflicts damage equal to the user's level.,selected-pokemon,ghost,ghost,17
minimize,107,106,,status,,Does not interact with stomp. Additionally; Raises the user's evasion by two stages.,,10.0,0,Raises the user's evasion by two stages.,user,normal,normal,19
metronome,118,117,,status,,Can call any move except for struggle and itself. Additionally; Randomly selects and uses any move in the game.,,10.0,0,Randomly selects and uses any move in the game.,user,normal,normal,19
soft-boiled,135,134,,status,,Heals the user by half its max HP.,,5.0,0,Heals the user by half its max HP.,user,normal,normal,19
splash,150,149,,status,,Does nothing.,,40.0,0,Does nothing.,user,normal,normal,19
heal-bell,215,214,,status,,Cures the entire party of major status effects.,,5.0,0,Cures the entire party of major status effects.,user-and-allies,normal,normal,19
present,217,216,90.0,physical,,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,,15.0,0,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,selected-pokemon,normal,normal,19
moonlight,236,235,,status,,Heals the user by half its max HP.  Affected by weather.,,5.0,0,Heals the user by half its max HP.  Affected by weather.,user,fairy,fairy,5
trick,271,270,100.0,status,,User and target swap items.,,10.0,0,User and target swap items.,selected-pokemon,psychic,psychic,8
role-play,272,271,,status,,Copies the target's ability.,,10.0,0,Copies the target's ability.,selected-pokemon,psychic,psychic,8
wish,273,272,,status,,Heals replacement Pokémon by half of their max HP. Additionally; User will recover half its max HP at the end of the next turn.,,10.0,0,User will recover half its max HP at the end of the next turn.,user,normal,normal,19
magic-coat,277,276,,status,,Reflects back the first effect move used on the user this turn.,,15.0,4,Reflects back the first effect move used on the user this turn.,user,psychic,psychic,8
recycle,278,277,,status,,User recovers the item it last used up.,,10.0,0,User recovers the item it last used up.,user,normal,normal,19
imprison,286,285,,status,,Prevents the target from using any moves that the user also knows.,,10.0,0,Prevents the target from using any moves that the user also knows.,user,psychic,psychic,8
hyper-voice,304,303,100.0,special,,Inflicts regular damage with no additional effect.,90.0,10.0,0,Inflicts regular damage with no additional effect.,all-opponents,normal,normal,19
meteor-mash,309,308,90.0,physical,20.0,Has a 20% chance to raise the user's Attack by one stage.,90.0,10.0,0,Has a 20% chance to raise the user's Attack by one stage.,selected-pokemon,steel,steel,9
tickle,321,320,100.0,status,,Lowers the target's Attack and Defense by one stage.,,20.0,0,Lowers the target's Attack and Defense by one stage.,selected-pokemon,normal,normal,19
cosmic-power,322,321,,status,,Raises the user's Defense and Special Defense by one stage.,,20.0,0,Raises the user's Defense and Special Defense by one stage.,user,psychic,psychic,8
bounce,340,339,85.0,physical,30.0,"User bounces high into the air, dodging all attacks, and hits next turn.",85.0,5.0,0,"User bounces high into the air, dodging all attacks, and hits next turn.",selected-pokemon,flying,flying,3
gravity,356,355,,status,,Disables moves and immunities that involve flying or levitating for five turns.,,5.0,0,Disables moves and immunities that involve flying or levitating for five turns.,entire-field,psychic,psychic,8
wake-up-slap,358,357,100.0,physical,,"If the target is asleep, has double power and wakes it up.",70.0,10.0,0,"If the target is asleep, has double power and wakes it up.",selected-pokemon,fighting,fighting,7
healing-wish,361,360,,status,,User faints.  Its replacement has its HP fully restored and any major status effect removed.,,10.0,0,User faints.  Its replacement has its HP fully restored and any major status effect removed.,user,psychic,psychic,8
lucky-chant,381,380,,status,,Prevents the target from scoring critical hits for five turns.,,30.0,0,Prevents the target from scoring critical hits for five turns.,users-field,normal,normal,19
copycat,383,382,,status,,Uses the target's last used move.,,20.0,0,Uses the target's last used move.,user,normal,normal,19
drain-punch,409,408,100.0,physical,,Drains half the damage inflicted to heal the user.,75.0,10.0,0,Drains half the damage inflicted to heal the user.,selected-pokemon,fighting,fighting,7
wonder-room,472,471,,status,,All Pokémon's Defense and Special Defense are swapped for 5 turns.,,10.0,0,All Pokémon's Defense and Special Defense are swapped for 5 turns.,entire-field,psychic,psychic,8
psyshock,473,472,100.0,special,,"Inflicts damage based on the target's Defense, not Special Defense.",80.0,10.0,0,"Inflicts damage based on the target's Defense, not Special Defense.",selected-pokemon,psychic,psychic,8
telekinesis,477,476,,status,,Moves have 100% accuracy against the target for three turns.,,15.0,0,Moves have 100% accuracy against the target for three turns.,selected-pokemon,psychic,psychic,8
after-you,495,494,,status,,Makes the target act next this turn.,,15.0,0,Makes the target act next this turn.,selected-pokemon,normal,normal,19
stored-power,500,499,100.0,special,,"Power is higher the more the user's stats have been raised, to a maximum of 31×.",20.0,10.0,0,"Power is higher the more the user's stats have been raised, to a maximum of 31×.",selected-pokemon,psychic,psychic,8
ally-switch,502,501,,status,,User switches places with the friendly Pokémon opposite it.,,15.0,2,User switches places with the friendly Pokémon opposite it.,user,psychic,psychic,8
heal-pulse,505,504,,status,,Heals the target for half its max HP.,,10.0,0,Heals the target for half its max HP.,selected-pokemon,psychic,psychic,8
bestow,516,515,,status,,Gives the user's held item to the target.,,15.0,0,Gives the user's held item to the target.,selected-pokemon,normal,normal,19
misty-terrain,581,580,,status,,"For five turns, protects all Pokémon on the ground from major status ailments and confusion, and halves the power of incoming dragon moves.",,10.0,0,"For five turns, protects all Pokémon on the ground from major status ailments and confusion, and halves the power of incoming dragon moves.",entire-field,fairy,fairy,5
moonblast,585,584,100.0,special,30.0,Has a 30% chance to lower the target's Special Attack by one stage.,95.0,15.0,0,Has a 30% chance to lower the target's Special Attack by one stage.,selected-pokemon,fairy,fairy,5
dazzling-gleam,605,604,100.0,special,,Inflicts regular damage with no additional effect.,80.0,10.0,0,Inflicts regular damage with no additional effect.,all-opponents,fairy,fairy,5
spotlight,671,670,,status,,Forces the target's opponents to aim at the target for the rest of the turn.,,15.0,3,Forces the target's opponents to aim at the target for the rest of the turn.,selected-pokemon,normal,normal,19
meteor-beam,800,781,90.0,special,100.0,Inflicts regular damage with no additional effect.,120.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,rock,rock,11
misty-explosion,802,783,100.0,special,,Inflicts regular damage with no additional effect.,100.0,5.0,0,Inflicts regular damage with no additional effect.,all-other-pokemon,fairy,fairy,5
future-sight,248,247,100.0,special,,Hits the target two turns later.,120.0,10.0,0,Hits the target two turns later.,selected-pokemon,psychic,psychic,8
hypnosis,95,94,60.0,status,,Puts the target to sleep.,,20.0,0,Puts the target to sleep.,selected-pokemon,psychic,psychic,8
confuse-ray,109,108,100.0,status,,Confuses the target.,,10.0,0,Confuses the target.,selected-pokemon,ghost,ghost,17
memento,262,261,100.0,status,,Lowers the target's Attack and Special Attack by two stages.  User faints.,,10.0,0,Lowers the target's Attack and Special Attack by two stages.  User faints.,selected-pokemon,dark,dark,16
grudge,288,287,,status,,"If the user faints this turn, the PP of the move that fainted it drops to 0.",,5.0,0,"If the user faints this turn, the PP of the move that fainted it drops to 0.",user,ghost,ghost,17
extrasensory,326,325,100.0,special,10.0,Has a 10% chance to make the target flinch.,80.0,20.0,0,Has a 10% chance to make the target flinch.,selected-pokemon,psychic,psychic,8
howl,336,335,,status,,Raises the user's Attack by one stage.,,40.0,0,Raises the user's Attack by one stage.,user-and-allies,normal,normal,19
power-swap,384,383,,status,,User swaps Attack and Special Attack changes with the target.,,10.0,0,User swaps Attack and Special Attack changes with the target.,selected-pokemon,psychic,psychic,8
foul-play,492,491,100.0,physical,,Calculates damage with the target's attacking stat.,95.0,15.0,0,Calculates damage with the target's attacking stat.,selected-pokemon,dark,dark,16
tail-slap,541,540,85.0,physical,,Hits 2-5 times in one turn.,25.0,10.0,0,Hits 2-5 times in one turn.,selected-pokemon,normal,normal,19
baby-doll-eyes,608,607,100.0,status,,Lowers the target's Attack by one stage.,,30.0,1,Lowers the target's Attack by one stage.,selected-pokemon,fairy,fairy,5
burning-jealousy,807,788,100.0,special,100.0,Inflicts regular damage with no additional effect.,70.0,5.0,0,Inflicts regular damage with no additional effect.,all-opponents,fire,fire,14
self-destruct,120,119,100.0,physical,,"Halves the target's Defense for damage calculation, which is similar to doubling the attack's power. Additionally; User faints.",200.0,5.0,0,User faints.,all-other-pokemon,normal,normal,19
magic-room,478,477,,status,,Negates held items for five turns.,,10.0,0,Negates held items for five turns.,entire-field,psychic,psychic,8
expanding-force,797,778,100.0,special,,Inflicts regular damage with no additional effect.,80.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,psychic,psychic,8
absorb,71,70,100.0,special,,Drains half the damage inflicted to heal the user.,20.0,25.0,0,Drains half the damage inflicted to heal the user.,selected-pokemon,grass,grass,6
mean-look,212,211,,status,,Prevents the target from leaving battle.,,5.0,0,Prevents the target from leaving battle.,selected-pokemon,normal,normal,19
quick-guard,501,500,,status,,Prevents any priority moves from hitting friendly Pokémon this turn.,,15.0,3,Prevents any priority moves from hitting friendly Pokémon this turn.,users-field,fighting,fighting,7
teeter-dance,298,297,100.0,status,,Confuses the target.,,20.0,0,Confuses the target.,all-other-pokemon,normal,normal,19
strength-sap,668,667,100.0,status,100.0,Heals the user by the target's current Attack stat and lowers the target's Attack by one stage.,,10.0,0,Heals the user by the target's current Attack stat and lowers the target's Attack by one stage.,selected-pokemon,grass,grass,6
aromatherapy,312,311,,status,,Cures the entire party of major status effects.,,5.0,0,Cures the entire party of major status effects.,user-and-allies,grass,grass,6
solar-blade,669,668,100.0,physical,,Requires a turn to charge before attacking.,125.0,10.0,0,Requires a turn to charge before attacking.,selected-pokemon,grass,grass,6
corrosive-gas,810,791,100.0,status,,Inflicts regular damage with no additional effect.,,40.0,0,Inflicts regular damage with no additional effect.,all-other-pokemon,poison,poison,1
spore,147,146,100.0,status,,Puts the target to sleep.,,15.0,0,Puts the target to sleep.,selected-pokemon,grass,grass,6
cross-poison,440,439,100.0,physical,10.0,Has an increased chance for a critical hit and a 10% chance to poison the target.,70.0,20.0,0,Has an increased chance for a critical hit and a 10% chance to poison the target.,selected-pokemon,poison,poison,1
wide-guard,469,468,,status,,Prevents any multi-target moves from hitting friendly Pokémon this turn.,,10.0,3,Prevents any multi-target moves from hitting friendly Pokémon this turn.,users-field,rock,rock,11
morning-sun,234,233,,status,,Heals the user by half its max HP.  Affected by weather.,,5.0,0,Heals the user by half its max HP.  Affected by weather.,user,normal,normal,19
lunge,679,678,100.0,physical,100.0,Lowers the target's Attack by one stage after inflicting damage.,80.0,15.0,0,Lowers the target's Attack by one stage after inflicting damage.,selected-pokemon,bug,bug,18
assist,274,273,,status,,Randomly selects and uses one of the trainer's other Pokémon's moves.,,20.0,0,Randomly selects and uses one of the trainer's other Pokémon's moves.,user,normal,normal,19
odor-sleuth,316,315,,status,,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",,40.0,0,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",selected-pokemon,normal,normal,19
punishment,386,385,100.0,physical,,"Power increases against targets with more raised stats, up to a maximum of 200.",,5.0,0,"Power increases against targets with more raised stats, up to a maximum of 200.",selected-pokemon,dark,dark,16
power-gem,408,407,100.0,special,,Inflicts regular damage with no additional effect.,80.0,20.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,rock,rock,11
embargo,373,372,100.0,status,,Target cannot use held items.,,15.0,0,Target cannot use held items.,selected-pokemon,dark,dark,16
cross-chop,238,237,80.0,physical,,Has an increased chance for a critical hit.,100.0,5.0,0,Has an increased chance for a critical hit.,selected-pokemon,fighting,fighting,7
water-sport,346,345,,status,,Halves all Fire-type damage.,,15.0,0,Halves all Fire-type damage.,entire-field,water,water,12
vacuum-wave,410,409,100.0,special,,Inflicts regular damage with no additional effect.,40.0,30.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,fighting,fighting,7
synchronoise,485,484,100.0,special,,Hits any Pokémon that shares a type with the user.,120.0,10.0,0,Hits any Pokémon that shares a type with the user.,all-other-pokemon,psychic,psychic,8
soak,487,486,100.0,status,,Changes the target's type to Water.,,20.0,0,Changes the target's type to Water.,selected-pokemon,water,water,12
low-sweep,490,489,100.0,physical,100.0,Lowers the target's Speed by one stage.,65.0,20.0,0,Lowers the target's Speed by one stage.,selected-pokemon,fighting,fighting,7
simple-beam,493,492,100.0,status,,Changes the target's ability to Simple.,,15.0,0,Changes the target's ability to Simple.,selected-pokemon,normal,normal,19
clear-smog,499,498,,special,,Removes all of the target's stat modifiers.,50.0,15.0,0,Removes all of the target's stat modifiers.,selected-pokemon,poison,poison,1
karate-chop,2,1,100.0,physical,,Has an increased chance for a critical hit.,50.0,25.0,0,Has an increased chance for a critical hit.,selected-pokemon,fighting,fighting,7
meditate,96,95,,status,,Raises the user's Attack by one stage.,,40.0,0,Raises the user's Attack by one stage.,user,psychic,psychic,8
smelling-salts,265,264,100.0,physical,,"If the target is paralyzed, inflicts double damage and cures the paralysis.",70.0,10.0,0,"If the target is paralyzed, inflicts double damage and cures the paralysis.",selected-pokemon,normal,normal,19
bulk-up,339,338,,status,,Raises the user's Attack and Defense by one stage.,,20.0,0,Raises the user's Attack and Defense by one stage.,user,fighting,fighting,7
close-combat,370,369,100.0,physical,100.0,Lowers the user's Defense and Special Defense by one stage after inflicting damage.,120.0,5.0,0,Lowers the user's Defense and Special Defense by one stage after inflicting damage.,selected-pokemon,fighting,fighting,7
dual-chop,530,529,90.0,physical,,Hits twice in one turn.,40.0,15.0,0,Hits twice in one turn.,selected-pokemon,dragon,dragon,15
power-trip,681,680,100.0,physical,,"Power is higher the more the user's stats have been raised, to a maximum of 31×.",20.0,10.0,0,"Power is higher the more the user's stats have been raised, to a maximum of 31×.",selected-pokemon,dark,dark,16
burn-up,682,681,100.0,special,,Removes the user's fire type after inflicting damage.,130.0,5.0,0,Removes the user's fire type after inflicting damage.,selected-pokemon,fire,fire,14
extreme-speed,245,244,100.0,physical,,Inflicts regular damage with no additional effect.,80.0,5.0,2,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
iron-head,442,441,100.0,physical,30.0,Has a 30% chance to make the target flinch.,80.0,15.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,steel,steel,9
mind-reader,170,169,,status,,Ensures that the user's next move will hit the target.,,5.0,0,Ensures that the user's next move will hit the target.,selected-pokemon,normal,normal,19
ice-ball,301,300,90.0,physical,,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",30.0,20.0,0,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",selected-pokemon,ice,ice,10
circle-throw,509,508,90.0,physical,,Ends wild battles.  Forces trainers to switch Pokémon.,60.0,10.0,-6,Ends wild battles.  Forces trainers to switch Pokémon.,selected-pokemon,fighting,fighting,7
darkest-lariat,663,662,100.0,physical,,Ignores the target's stat modifiers.,85.0,10.0,0,Ignores the target's stat modifiers.,selected-pokemon,dark,dark,16
coaching,811,792,,status,100.0,Inflicts regular damage with no additional effect.,,10.0,0,Inflicts regular damage with no additional effect.,user-and-allies,fighting,fighting,7
barrier,112,111,,status,,Raises the user's Defense by two stages.,,20.0,0,Raises the user's Defense by two stages.,user,psychic,psychic,8
psycho-shift,375,374,100.0,status,,Transfers the user's major status effect to the target.,,10.0,0,Transfers the user's major status effect to the target.,selected-pokemon,psychic,psychic,8
power-trick,379,378,,status,,User swaps Attack and Defense.,,10.0,0,User swaps Attack and Defense.,user,psychic,psychic,8
guard-swap,385,384,,status,,User swaps Defense and Special Defense changes with the target.,,10.0,0,User swaps Defense and Special Defense changes with the target.,selected-pokemon,psychic,psychic,8
trick-room,433,432,,status,,"For five turns, slower Pokémon will act before faster Pokémon.",,5.0,-7,"For five turns, slower Pokémon will act before faster Pokémon.",entire-field,psychic,psychic,8
guard-split,470,469,,status,,Averages Defense and Special Defense with the target.,,10.0,0,Averages Defense and Special Defense with the target.,selected-pokemon,psychic,psychic,8
psychic-terrain,678,677,,status,,Protects Pokémon on the ground from priority moves and increases the power of their  Psychic moves by 50%.,,10.0,0,Protects Pokémon on the ground from priority moves and increases the power of their  Psychic moves by 50%.,entire-field,psychic,psychic,8
recover,105,104,,status,,Heals the user by half its max HP.,,5.0,0,Heals the user by half its max HP.,user,normal,normal,19
kinesis,134,133,80.0,status,,Lowers the target's accuracy by one stage.,,15.0,0,Lowers the target's accuracy by one stage.,selected-pokemon,psychic,psychic,8
miracle-eye,357,356,,status,,"Forces the target to have no evasion, and allows it to be hit by Psychic moves even if it's Dark.",,40.0,0,"Forces the target to have no evasion, and allows it to be hit by Psychic moves even if it's Dark.",selected-pokemon,psychic,psychic,8
psycho-cut,427,426,100.0,physical,,Has an increased chance for a critical hit.,70.0,20.0,0,Has an increased chance for a critical hit.,selected-pokemon,psychic,psychic,8
rolling-kick,27,26,85.0,physical,30.0,Has a 30% chance to make the target flinch.,60.0,15.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,fighting,fighting,7
vital-throw,233,232,,physical,,Never misses.,70.0,10.0,-1,Never misses.,selected-pokemon,fighting,fighting,7
bullet-punch,418,417,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,30.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,steel,steel,9
heavy-slam,484,483,100.0,physical,,"Power is higher when the user weighs more than the target, up to a maximum of 120.",,10.0,0,"Power is higher when the user weighs more than the target, up to a maximum of 120.",selected-pokemon,steel,steel,9
wring-out,378,377,100.0,special,,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",,5.0,0,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",selected-pokemon,normal,normal,19
leaf-blade,348,347,100.0,physical,,Has an increased chance for a critical hit.,90.0,15.0,0,Has an increased chance for a critical hit.,selected-pokemon,grass,grass,6
leaf-tornado,536,535,90.0,special,50.0,Has a 50% chance to lower the target's accuracy by one stage.,65.0,10.0,0,Has a 50% chance to lower the target's accuracy by one stage.,selected-pokemon,grass,grass,6
aurora-beam,62,61,100.0,special,10.0,Has a 10% chance to lower the target's Attack by one stage.,65.0,20.0,0,Has a 10% chance to lower the target's Attack by one stage.,selected-pokemon,ice,ice,10
constrict,132,131,100.0,physical,10.0,Has a 10% chance to lower the target's Speed by one stage.,10.0,35.0,0,Has a 10% chance to lower the target's Speed by one stage.,selected-pokemon,normal,normal,19
acid-armor,151,150,,status,,Raises the user's Defense by two stages.,,20.0,0,Raises the user's Defense by two stages.,user,poison,poison,1
acupressure,367,366,,status,,Raises one of a friendly Pokémon's stats at random by two stages.,,30.0,0,Raises one of a friendly Pokémon's stats at random by two stages.,user-or-ally,normal,normal,19
reflect-type,513,512,,status,,User becomes the target's type.,,15.0,0,User becomes the target's type.,selected-pokemon,normal,normal,19
rock-throw,88,87,90.0,physical,,Inflicts regular damage with no additional effect.,50.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,rock,rock,11
explosion,153,152,100.0,physical,,"Halves the target's Defense for damage calculation, which is similar to doubling the attack's power. Additionally; User faints.",250.0,5.0,0,User faints.,all-other-pokemon,normal,normal,19
hammer-arm,359,358,90.0,physical,100.0,Lowers user's Speed by one stage.,100.0,10.0,0,Lowers user's Speed by one stage.,selected-pokemon,fighting,fighting,7
rock-polish,397,396,,status,,Raises the user's Speed by two stages.,,20.0,0,Raises the user's Speed by two stages.,user,rock,rock,11
